date,Gouvernorat,الولاية,Cas,Rétablis,Décès,Hospitalisé,nbre tests,Reanimation,Pays
02/03/2020,Gafsa,قفصة,1,1,,,67,,Tunisie
08/03/2020,Mahdia,مهدية,1,,,,30,,Tunisie
09/03/2020,Bizerte,بنزرت,1,,,,20,,Tunisie
09/03/2020,Tunis,تونس,1,,,,,,Tunisie
09/03/2020,Mahdia,مهدية,1,1,,,,,Tunisie
10/03/2020,Mahdia,مهدية,1,,,,44,,Tunisie
11/03/2020,Ariana,اريانة,1,,,,28,,Tunisie
12/03/2020,Tunis,تونس,4,,,,72,,Tunisie
12/03/2020,Ariana,اريانة,2,,,,,,Tunisie
13/03/2020,Ariana,اريانة,1,,,,43,,Tunisie
13/03/2020,Tunis,تونس,1,,,,,,Tunisie
13/03/2020,Bizerte,بنزرت,1,,,,,,Tunisie
14/03/2020,Tataouine,تطاوين,1,,,,70,,Tunisie
14/03/2020,Ariana,اريانة,1,,,,,,Tunisie
15/03/2020,Tunis,تونس,1,,,,31,,Tunisie
15/03/2020,Kairouan,القيروان,1,,,,,,Tunisie
16/03/2020,Sousse,سوسة,1,,,,67,,Tunisie
16/03/2020,Monastir,المنستير,1,,,,,,Tunisie
16/03/2020,Tunis,تونس,2,,,,,,Tunisie
17/03/2020,Kairouan,القيروان,1,,,,66,,Tunisie
17/03/2020,Ariana,اريانة,1,,,,,,Tunisie
17/03/2020,Tunis,تونس,1,,,,,,Tunisie
17/03/2020,Sousse,سوسة,1,1,,,,,Tunisie
17/03/2020,Sfax,صفاقس,1,,,,,,Tunisie
18/03/2020,Ariana,اريانة,2,,,,86,,Tunisie
18/03/2020,Tunis,تونس,5,,,,,,Tunisie
18/03/2020,Nabeul,نابل,1,,,,,,Tunisie
18/03/2020,Ben Arous,بن عروس,1,,,,,,Tunisie
18/03/2020,Sousse,سوسة,0,,1,,,,Tunisie
18/03/2020,Medenine,مدنين,1,,,,,,Tunisie
19/03/2020,Ariana,اريانة,4,,,,79,,Tunisie
19/03/2020,Tunis,تونس,3,,,,,,Tunisie
19/03/2020,Ben Arous,بن عروس,1,,,,,,Tunisie
19/03/2020,Tataouine,تطاوين,3,,,,,,Tunisie
19/03/2020,Sousse,سوسة,2,,,,,,Tunisie
19/03/2020,Monastir,المنستير,2,,,,,,Tunisie
20/03/2020,Ariana,اريانة,1,,,,126,,Tunisie
20/03/2020,Medenine,مدنين,1,,,,,,Tunisie
20/03/2020,Ben Arous,بن عروس,2,,,,,,Tunisie
20/03/2020,Sousse,سوسة,1,,,,,,Tunisie
20/03/2020,Medenine,مدنين,1,,,,,,Tunisie
20/03/2020,Sfax,,0,,1,,,,Tunisie
21/03/2020,Ariana,اريانة,2,,0,,132,,Tunisie
21/03/2020,Tunis,تونس,4,,,,,,Tunisie
21/03/2020,Gabes,قابس,1,,,,,,Tunisie
21/03/2020,Kebili,قبلي,1,,,,,,Tunisie
21/03/2020,Ben Arous,بن عروس,1,,,,,,Tunisie
21/03/2020,Monastir,المنستير,2,,,,,,Tunisie
21/03/2020,Sfax,صفاقس,3,,0,,,,Tunisie
21/03/2020,Tataouine,تطاوين,1,,,,,,Tunisie
22/03/2020,Tunis,تونس,7,,,,126,,Tunisie
22/03/2020,Manouba,منوبة,1,,,,,,Tunisie
22/03/2020,Ben Arous,بن عروس,3,,,,,,Tunisie
22/03/2020,Ariana,اريانة,1,,,,,,Tunisie
22/03/2020,Medenine,مدنين,2,,,,,,Tunisie
23/03/2020,Ariana,اريانة,6,,1,,138,,Tunisie
23/03/2020,Ben Arous,بن عروس,4,,,,,,Tunisie
23/03/2020,Bizerte,بنزرت,1,,,,,,Tunisie
23/03/2020,Kebili,قبلي,4,,,,,,Tunisie
23/03/2020,Medenine,مدنين,1,,,,,,Tunisie
23/03/2020,Monastir,المنستير,2,,,,,,Tunisie
23/03/2020,Sfax,صفاقس,1,,,,,,Tunisie
23/03/2020,Sousse,سوسة,1,,,,,,Tunisie
23/03/2020,Tataouine,تطاوين,1,,,,,,Tunisie
23/03/2020,Tunis,تونس,3,,,,,,Tunisie
23/03/2020,Zaghouan,زغوان,1,,,,,,Tunisie
24/03/2020,Tunis,تونس,15,,,,229,,Tunisie
24/03/2020,Le Kef,الكاف,1,,1,,,,Tunisie
24/03/2020,Ariana,اريانة,9,,,,,,Tunisie
24/03/2020,Ben Arous,بن عروس,5,,,,,,Tunisie
24/03/2020,Medenine,مدنين,6,,,,,,Tunisie
24/03/2020,Sousse,سوسة,7,,,,,,Tunisie
24/03/2020,Monastir,المنستير,6,,,,,,Tunisie
24/03/2020,Sfax,صفاقس,2,,0,,,,Tunisie
