age_group,invited,registered,date
-18,0,1095,2021-01-20
18-30,3410,13955,2021-01-20
30-40,3648,17849,2021-01-20
40-50,3747,14315,2021-01-20
50-60,12549,13448,2021-01-20
60-75,18155,18161,2021-01-20
75-,4037,4037,2021-01-20
-18,0,1298,2021-01-21
18-30,1811,11704,2021-01-21
30-40,2459,15431,2021-01-21
40-50,3339,14916,2021-01-21
50-60,15274,16585,2021-01-21
60-75,25625,25643,2021-01-21
75-,6932,6932,2021-01-21
-18,0,621,2021-01-22
18-30,784,5472,2021-01-22
30-40,1099,7109,2021-01-22
40-50,1529,7281,2021-01-22
50-60,8023,8686,2021-01-22
60-75,15187,15194,2021-01-22
75-,4927,4927,2021-01-22
-18,0,328,2021-01-23
18-30,404,2482,2021-01-23
30-40,504,3274,2021-01-23
40-50,703,3369,2021-01-23
50-60,3974,4302,2021-01-23
60-75,8243,8246,2021-01-23
75-,2881,2881,2021-01-23
-18,0,257,2021-01-24
18-30,246,1871,2021-01-24
30-40,293,2134,2021-01-24
40-50,450,2277,2021-01-24
50-60,2833,3076,2021-01-24
60-75,5913,5917,2021-01-24
75-,2040,2040,2021-01-24
-18,0,152,2021-01-25
18-30,200,1462,2021-01-25
30-40,258,1912,2021-01-25
40-50,470,1967,2021-01-25
50-60,2319,2517,2021-01-25
60-75,4513,4513,2021-01-25
75-,1510,1510,2021-01-25
-18,0,100,2021-01-26
18-30,136,856,2021-01-26
30-40,160,1100,2021-01-26
40-50,225,1108,2021-01-26
50-60,1277,1377,2021-01-26
60-75,2618,2620,2021-01-26
75-,944,944,2021-01-26
-18,0,68,2021-01-27
18-30,81,664,2021-01-27
30-40,142,931,2021-01-27
40-50,232,1002,2021-01-27
50-60,1084,1192,2021-01-27
60-75,2201,2201,2021-01-27
75-,797,797,2021-01-27
-18,0,76,2021-01-28
18-30,73,543,2021-01-28
30-40,95,782,2021-01-28
40-50,199,922,2021-01-28
50-60,1165,1263,2021-01-28
60-75,2155,2156,2021-01-28
75-,784,784,2021-01-28
-18,0,54,2021-01-29
18-30,59,425,2021-01-29
30-40,85,589,2021-01-29
40-50,151,674,2021-01-29
50-60,915,988,2021-01-29
60-75,1770,1770,2021-01-29
75-,563,563,2021-01-29
-18,0,63,2021-01-30
18-30,84,741,2021-01-30
30-40,170,1073,2021-01-30
40-50,270,1215,2021-01-30
50-60,1560,1691,2021-01-30
60-75,2664,2665,2021-01-30
75-,779,779,2021-01-30
-18,0,30,2021-01-31
18-30,90,613,2021-01-31
30-40,121,894,2021-01-31
40-50,226,1057,2021-01-31
50-60,1304,1427,2021-01-31
60-75,2734,2735,2021-01-31
75-,917,917,2021-01-31
-18,0,103,2021-02-01
18-30,110,925,2021-02-01
30-40,166,1430,2021-02-01
40-50,359,1732,2021-02-01
50-60,2055,2250,2021-02-01
60-75,3775,3776,2021-02-01
75-,1249,1249,2021-02-01
-18,0,124,2021-02-02
18-30,124,939,2021-02-02
30-40,207,1630,2021-02-02
40-50,399,1882,2021-02-02
50-60,2099,2294,2021-02-02
60-75,3689,3692,2021-02-02
75-,1196,1197,2021-02-02
-18,0,75,2021-02-03
18-30,92,701,2021-02-03
30-40,162,1133,2021-02-03
40-50,305,1299,2021-02-03
50-60,1544,1656,2021-02-03
60-75,2779,2781,2021-02-03
75-,981,981,2021-02-03
-18,0,85,2021-02-04
18-30,124,812,2021-02-04
30-40,183,1191,2021-02-04
40-50,261,1098,2021-02-04
50-60,1207,1312,2021-02-04
60-75,2273,2274,2021-02-04
75-,846,846,2021-02-04
-18,0,96,2021-02-05
18-30,137,950,2021-02-05
30-40,187,1288,2021-02-05
40-50,319,1372,2021-02-05
50-60,1412,1547,2021-02-05
